id,game_publisher_id,platform_id,release_year
1,8564,4,2007
2,9852,4,2007
3,11063,7,2006
4,9065,15,2011
5,9544,15,2011
6,11623,15,2009
7,1977,16,1981
8,3833,16,1981
9,3838,16,1982
10,4755,16,1982
11,5034,16,1981
12,9762,15,2008
13,3647,7,2002
14,3687,7,2003
15,5747,7,2001
16,5788,7,2000
17,6318,7,2001
18,6544,7,2001
19,6657,7,2001
20,7051,7,2002
21,7172,7,2000
22,8175,7,2002
23,8750,7,2001
24,9032,7,2002
25,9522,7,2001
26,1952,12,1999
27,3341,12,2000
28,3532,12,1999
29,3913,12,1998
30,4854,12,2000
31,1241,13,1999
32,1867,13,1999
33,1952,13,1999
34,2559,13,2000
35,2705,13,2000
36,3231,13,2001
37,3341,13,2000
38,4136,13,2000
39,4186,13,2000
40,4683,13,1999
41,5747,13,2001
42,5788,13,2000
43,6544,13,2001
44,7384,13,2001
45,8181,13,1998
46,9470,13,2001
47,3687,14,2003
48,11522,19,2003
49,9440,5,2009
50,107,1,2010
51,427,1,2007
52,1824,1,2008
53,2608,1,2010
54,2799,1,2008
55,2909,1,2010
56,3186,1,2007
57,3555,1,2009
58,4647,1,2009
59,4923,1,2009
60,4997,1,2007
61,5626,1,2009
62,6066,1,2007
63,6549,1,2010
64,7060,1,2011
65,7309,1,2009
66,7349,1,2009
67,7553,1,2008
68,7802,1,2009
69,8088,1,2009
70,8145,1,2012
71,8283,1,2007
72,8318,1,2007
73,8410,1,2006
74,9286,1,2007
75,9297,1,2007
76,9307,1,2007
77,9493,1,2007
78,10368,1,2009
79,10721,1,2006
80,140,4,2006
81,312,4,2007
82,839,4,2009
83,1147,4,2009
84,2207,4,2009
85,2281,4,2010
86,2524,4,2007
87,2608,4,2010
88,3199,4,2009
89,3847,4,2008
90,3954,4,2009
91,4602,4,2007
92,4923,4,2008
93,5044,4,2008
94,5269,4,2009
95,5328,4,2011
96,5579,4,2010
97,5765,4,2007
98,5881,4,2010
99,6041,4,2007
100,6185,4,2005
101,6206,4,2005
102,6231,4,2008
103,6365,4,2007
104,6409,4,2006
105,6611,4,2007
106,7060,4,2011
107,7067,4,2011
